Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2026-08-12,0,0,,
2026-08-13,0,0,,
2026-08-14,0,23,0%,18.7
2026-08-15,10,229,4.37%,20.3
2026-08-16,16,269,5.95%,27.4
2026-08-17,7,257,2.72%,32.6
2026-08-18,4,155,2.58%,28.8
2026-08-19,4,174,2.3%,30.7
2026-08-20,9,193,4.66%,31.5
2026-08-21,8,204,3.92%,31.7
2026-08-22,7,147,4.76%,23.5
2026-08-23,9,157,5.73%,19.1
2026-08-24,11,149,7.38%,22.6
2026-08-25,8,141,5.67%,25
2026-08-26,13,166,7.83%,20.4
